DateTime,Horizon,utility,absolute,wellbeing,expanded,solution size,Time,action revisions,lies,hons,pos,neg,Theories
"05/13/2024, 11:37:15",5,0.8293559035634069,True,3.260999663894769,3079,314,2.5338040000000004,23177,80,86,87,79,"[['utility', 'wellbeing']]"
"05/13/2024, 11:37:18",5,0.8293559035634069,True,3.260999663894769,3079,314,2.645818,23177,80,86,87,79,"[['utility', 'wellbeing']]"
"05/13/2024, 11:37:21",5,0.8293559035634069,True,3.260999663894769,3079,314,2.649712,23177,80,86,87,79,"[['utility', 'wellbeing']]"
"05/13/2024, 11:37:24",5,0.8293559035634069,True,3.260999663894769,3079,314,2.548648,23177,80,86,87,79,"[['utility', 'wellbeing']]"
"05/13/2024, 11:37:27",5,0.8293559035634069,True,3.260999663894769,3079,314,2.6926689999999995,23177,80,86,87,79,"[['utility', 'wellbeing']]"
"05/13/2024, 11:37:28",5,2.6607686800000003,True,-4.68559,404,299,0.3256999999999999,1000,48,107,0,155,"[['utility'], ['wellbeing']]"
"05/13/2024, 11:37:29",5,2.6607686800000003,True,-4.68559,404,299,0.3285450000000001,1000,48,107,0,155,"[['utility'], ['wellbeing']]"
"05/13/2024, 11:37:29",5,2.6607686800000003,True,-4.68559,404,299,0.301847,1000,48,107,0,155,"[['utility'], ['wellbeing']]"
"05/13/2024, 11:37:30",5,2.6607686800000003,True,-4.68559,404,299,0.2647849999999998,1000,48,107,0,155,"[['utility'], ['wellbeing']]"
"05/13/2024, 11:37:31",5,2.6607686800000003,True,-4.68559,404,299,0.2309890000000001,1000,48,107,0,155,"[['utility'], ['wellbeing']]"
"05/13/2024, 11:37:32",5,0.5900333450908017,True,3.653800988057133,1069,326,0.9208349999999998,9939,88,73,112,49,"[['wellbeing'], ['utility']]"
"05/13/2024, 11:37:34",5,0.5900333450908017,True,3.653800988057133,1069,326,0.942165,9939,88,73,112,49,"[['wellbeing'], ['utility']]"
"05/13/2024, 11:37:35",5,0.5900333450908017,True,3.653800988057133,1069,326,0.912696,9939,88,73,112,49,"[['wellbeing'], ['utility']]"
"05/13/2024, 11:37:37",5,0.5900333450908017,True,3.653800988057133,1069,326,0.928118,9939,88,73,112,49,"[['wellbeing'], ['utility']]"
"05/13/2024, 11:37:38",5,0.5900333450908017,True,3.653800988057133,1069,326,0.9166029999999998,9939,88,73,112,49,"[['wellbeing'], ['utility']]"
"05/13/2024, 11:37:40",5,1.792567551396426,False,-1.774592905517112,1651,939,1.8882870000000005,20453,0,370,55,315,"[['absolute'], ['utility', 'wellbeing']]"
"05/13/2024, 11:37:43",5,1.792567551396426,False,-1.774592905517112,1651,939,1.883985,20453,0,370,55,315,"[['absolute'], ['utility', 'wellbeing']]"
"05/13/2024, 11:37:45",5,1.792567551396426,False,-1.774592905517112,1651,939,1.897309,20453,0,370,55,315,"[['absolute'], ['utility', 'wellbeing']]"
"05/13/2024, 11:37:47",5,1.792567551396426,False,-1.774592905517112,1651,939,1.8561829999999997,20453,0,370,55,315,"[['absolute'], ['utility', 'wellbeing']]"
"05/13/2024, 11:37:50",5,1.792567551396426,False,-1.774592905517112,1651,939,1.9086019999999997,20453,0,370,55,315,"[['absolute'], ['utility', 'wellbeing']]"
"05/13/2024, 11:37:53",5,0.8293559035634069,True,3.260999663894769,3079,314,2.78737,23177,80,86,87,79,"[['utility', 'wellbeing'], ['absolute']]"
"05/13/2024, 11:37:56",5,0.8293559035634069,True,3.260999663894769,3079,314,2.790728,23177,80,86,87,79,"[['utility', 'wellbeing'], ['absolute']]"
"05/13/2024, 11:38:00",5,0.8293559035634069,True,3.260999663894769,3079,314,2.8311310000000005,23177,80,86,87,79,"[['utility', 'wellbeing'], ['absolute']]"
"05/13/2024, 11:38:03",5,0.8293559035634069,True,3.260999663894769,3079,314,2.8402309999999997,23177,80,86,87,79,"[['utility', 'wellbeing'], ['absolute']]"
"05/13/2024, 11:38:06",5,0.8293559035634069,True,3.260999663894769,3079,314,2.847974,23177,80,86,87,79,"[['utility', 'wellbeing'], ['absolute']]"
"05/13/2024, 11:38:10",5,1.5711264746810305,True,-0.9606401462365648,2377,877,3.679549,40583,1,280,70,211,"[['utility', 'wellbeing', 'absolute']]"
"05/13/2024, 11:38:15",5,1.5711264746810305,True,-0.9606401462365648,2377,877,3.651038999999999,40583,1,280,70,211,"[['utility', 'wellbeing', 'absolute']]"
"05/13/2024, 11:38:19",5,1.5711264746810305,True,-0.9606401462365648,2377,877,3.755663,40583,1,280,70,211,"[['utility', 'wellbeing', 'absolute']]"
"05/13/2024, 11:38:23",5,1.5711264746810305,True,-0.9606401462365648,2377,877,3.666704,40583,1,280,70,211,"[['utility', 'wellbeing', 'absolute']]"
"05/13/2024, 11:38:27",5,1.5711264746810303,True,-0.9606401462365649,2377,877,3.6613909999999996,40583,1,280,70,211,"[['utility', 'wellbeing', 'absolute']]"
