DateTime,Horizon,utility,absolute,wellbeing,expanded,solution size,Time,action revisions,lies,hons,pos,neg,Theories
"05/13/2024, 12:16:59",5,2.700967532179386,True,-4.68559,35918,299,4.508299000000001,140954,48,107,0,155,utility
"05/13/2024, 12:17:04",5,2.700967532179386,True,-4.68559,35918,299,4.576321999999999,140954,48,107,0,155,utility
"05/13/2024, 12:17:09",5,2.700967532179386,True,-4.68559,35918,299,4.556203,140954,48,107,0,155,utility
"05/13/2024, 12:17:14",5,2.700967532179386,True,-4.68559,35918,299,4.4580210000000005,140954,48,107,0,155,utility
"05/13/2024, 12:17:19",5,2.700967532179386,True,-4.68559,35918,299,4.642624,140954,48,107,0,155,utility
"05/13/2024, 12:17:25",5,0.4598260168064386,True,3.65174707314571,35918,361,4.684667,140954,88,42,111,19,wellbeing
"05/13/2024, 12:17:30",5,0.4598260168064386,True,3.65174707314571,35918,361,4.655483,140954,88,42,111,19,wellbeing
"05/13/2024, 12:17:35",5,0.4598260168064386,True,3.65174707314571,35918,361,4.569099,140954,88,42,111,19,wellbeing
"05/13/2024, 12:17:40",5,0.4598260168064386,True,3.65174707314571,35918,361,4.73211,140954,88,42,111,19,wellbeing
"05/13/2024, 12:17:45",5,0.4598260168064386,True,3.65174707314571,35918,361,4.682988,140954,88,42,111,19,wellbeing
"05/13/2024, 12:17:48",5,0.0,False,0.0,35918,15,2.4682480000000004,12814,0,0,0,0,absolute
"05/13/2024, 12:17:51",5,0.0,False,0.0,35918,15,2.323654,12814,0,0,0,0,absolute
"05/13/2024, 12:17:54",5,0.0,False,0.0,35918,15,2.3447509999999996,12814,0,0,0,0,absolute
"05/13/2024, 12:17:57",5,0.0,False,0.0,35918,15,2.309262,12814,0,0,0,0,absolute
"05/13/2024, 12:18:00",5,0.0,False,0.0,35918,15,2.46044,12814,0,0,0,0,absolute
